bhk,price,area,sale,furnus,f1,f2,floor
1.0,3250000.0,438.0,Resale,Furnished,6.0,7.0,6 out of 7
1.0,3700000.0,510.0,Resale,Unfurnished,17.0,18.0,17 out of 18
4.0,32000000.0,1350.0,Resale,Unfurnished,16.0,27.0,16 out of 27
2.0,4000000.0,546.0,Resale,Unfurnished,2.0,4.0,2 out of 4
1.0,6000000.0,379.0,New Property,Semi-Furnished,2.0,21.0,2 out of 21
1.0,4500000.0,500.0,Resale,Unfurnished,2.0,2.0,2 out of 2
1.0,5500000.0,495.0,Resale,Unfurnished,7.0,31.0,7 out of 31
3.0,26000000.0,1012.0,Resale,Semi-Furnished,10.0,18.0,10 out of 18
2.0,4900000.0,526.0,New Property,Unfurnished,20.0,26.0,20 out of 26
2.0,3100000.0,692.0,Resale,Unfurnished,2.0,7.0,2 out of 7
3.0,15600000.0,879.0,Resale,Unfurnished,14.0,19.0,14 out of 19
1.0,4850000.0,410.0,Resale,Unfurnished,3.0,7.0,3 out of 7
1.0,4700000.0,400.0,Resale,Unfurnished,7.0,12.0,7 out of 12
2.0,8500000.0,640.0,Resale,Unfurnished,9.0,16.0,9 out of 16
6.0,52000000.0,2024.0,Resale,Semi-Furnished,8.0,18.0,8 out of 18
2.0,18000000.0,630.0,Resale,Semi-Furnished,12.0,18.0,12 out of 18
1.0,2700000.0,375.0,Resale,Unfurnished,3.0,3.0,3 out of 3
1.0,6300000.0,435.0,Resale,Unfurnished,8.0,16.0,8 out of 16
2.0,8400000.0,650.0,Resale,Semi-Furnished,7.0,7.0,7 out of 7
1.0,7500000.0,450.0,Resale,Furnished,1.0,7.0,1 out of 7
2.0,3900000.0,511.0,Resale,Unfurnished,5.0,7.0,5 out of 7
2.0,15400000.0,702.0,New Property,Unfurnished,2.0,29.0,2 out of 29
1.0,4500000.0,440.0,Resale,Semi-Furnished,5.0,14.0,5 out of 14
2.0,9500000.0,663.0,Resale,Unfurnished,18.0,20.0,18 out of 20
1.0,8200000.0,453.0,Resale,Unfurnished,6.0,40.0,6 out of 40
1.0,3000000.0,475.0,Resale,Furnished,2.0,4.0,2 out of 4
1.0,4700000.0,330.0,Resale,Semi-Furnished,9.0,16.0,9 out of 16
2.0,8500000.0,650.0,Resale,Semi-Furnished,5.0,11.0,5 out of 11
3.0,19000000.0,1011.0,Resale,Semi-Furnished,6.0,16.0,6 out of 16
1.0,3250000.0,500.0,Resale,Semi-Furnished,8.0,12.0,8 out of 12
2.0,11000000.0,650.0,Resale,Unfurnished,20.0,32.0,20 out of 32
1.0,2400000.0,420.0,Resale,Semi-Furnished,4.0,7.0,4 out of 7
2.0,21100000.0,790.0,New Property,Unfurnished,18.0,30.0,18 out of 30
1.0,3600000.0,450.0,New Property,Unfurnished,2.0,7.0,2 out of 7
3.0,19500000.0,1090.0,Resale,Unfurnished,10.0,28.0,10 out of 28
1.0,5000000.0,400.0,Resale,Unfurnished,5.0,7.0,5 out of 7
1.0,6300000.0,438.0,Resale,Semi-Furnished,6.0,16.0,6 out of 16
2.0,15500000.0,833.0,Resale,Unfurnished,19.0,23.0,19 out of 23
3.0,10000000.0,900.0,Resale,Unfurnished,5.0,7.0,5 out of 7
3.0,30000000.0,1300.0,Resale,Semi-Furnished,14.0,29.0,14 out of 29
2.0,14500000.0,720.0,Resale,Unfurnished,1.0,2.0,1 out of 2
2.0,10900000.0,640.0,Resale,Unfurnished,17.0,32.0,17 out of 32
1.0,3000000.0,385.0,Resale,Unfurnished,4.0,4.0,4 out of 4
1.0,2810000.0,384.0,New Property,Unfurnished,19.0,36.0,19 out of 36
1.0,7600000.0,450.0,Resale,Semi-Furnished,13.0,27.0,13 out of 27
2.0,11100000.0,650.0,Resale,Unfurnished,21.0,32.0,21 out of 32
1.0,3500000.0,510.0,Resale,Unfurnished,8.0,18.0,8 out of 18
2.0,22000000.0,810.0,New Property,Unfurnished,29.0,30.0,29 out of 30
2.0,17600000.0,800.0,New Property,Unfurnished,2.0,29.0,2 out of 29
2.0,8500000.0,670.0,Resale,Semi-Furnished,5.0,7.0,5 out of 7
1.0,4950000.0,500.0,New Property,Unfurnished,2.0,24.0,2 out of 24
2.0,17700000.0,804.0,New Property,Unfurnished,2.0,29.0,2 out of 29
3.0,23500000.0,1040.0,Resale,Semi-Furnished,16.0,28.0,16 out of 28
2.0,10900000.0,672.0,Resale,Unfurnished,22.0,29.0,22 out of 29
1.0,3500000.0,500.0,Resale,Unfurnished,1.0,1.0,1 out of 1
2.0,11400000.0,650.0,Resale,Unfurnished,23.0,32.0,23 out of 32
1.0,3300000.0,450.0,Resale,Unfurnished,10.0,18.0,10 out of 18
1.0,4000000.0,525.0,Resale,Unfurnished,1.0,4.0,1 out of 4
2.0,6500000.0,620.0,New Property,Unfurnished,23.0,24.0,23 out of 24
1.0,5100000.0,434.0,Resale,Semi-Furnished,5.0,7.0,5 out of 7
2.0,15500000.0,769.0,Resale,Unfurnished,11.0,17.0,11 out of 17
3.0,27900000.0,1260.0,New Property,Unfurnished,11.0,32.0,11 out of 32
2.0,7100000.0,630.0,New Property,Semi-Furnished,21.0,24.0,21 out of 24
3.0,16500000.0,900.0,Resale,Semi-Furnished,8.0,20.0,8 out of 20
1.0,13000000.0,455.0,Resale,Semi-Furnished,16.0,30.0,16 out of 30
2.0,16100000.0,559.0,Resale,Furnished,26.0,30.0,26 out of 30
4.0,70400000.0,2200.0,Resale,Unfurnished,7.0,26.0,7 out of 26
1.0,1950000.0,280.0,Resale,Unfurnished,1.0,5.0,1 out of 5
1.0,3200000.0,375.0,Resale,Semi-Furnished,3.0,4.0,3 out of 4
2.0,18500000.0,758.0,New Property,Unfurnished,9.0,29.0,9 out of 29
1.0,5200000.0,540.0,Resale,Semi-Furnished,7.0,12.0,7 out of 12
1.0,3800000.0,290.0,Resale,Semi-Furnished,3.0,4.0,3 out of 4
