"bhk","price","flr","area","sale","furnus","owner"
1,2600000.00,"6-7",,1,2,
2,6500000.00,"10-30",,1,0,
3,17500000.00,"17-27",889,1,1,0
2,6000000.00,"5-6",,1,1,2
1,2900000.00,"1-4",490,1,0,
1,5300000.00,"4-7",415,1,0,1
3,30000000.00,"11-26",1140,1,1,1
2,13200000.00,"12-30",735,1,0,1
1,10500000.00,"5-7",490,0,0,
1,7900000.00,"4-6",452,1,0,
1,6000000.00,"7-7",450,1,0,
1,1800000.00,"1-1",,1,1,0
3,13000000.00,"10-14",894,1,1,0
2,10600000.00,"14-32",640,1,0,1
2,10000000.00,"1-4",,1,2,
2,10700000.00,"15-32",640,1,0,1
2,17100000.00,"6-29",758,0,0,1
2,,"1-4",,1,2,
2,4500000.00,"7-9",,1,1,
3,16000000.00,"1-20",894,1,1,0
1,1900000.00,"2-7",,1,1,1
3,22900000.00,"28-32",1153,0,0,1
2,5600000.00,"1-8",,1,2,
2,7000000.00,"6-8",,1,1,
2,4150000.00,"3-20",671,0,0,1
4,12500000.00,"12-12",1170,1,2,0
2,6500000.00,"1-4",,1,1,
2,8300000.00,"12-21",600,1,0,1
2,,"1-29",758,0,0,1
3,7200000.00,"14-22",,1,0,
2,,"1-29",758,0,0,1
2,14700000.00,"30-36",848,1,1,
1,4000000.00,"4-4",,1,1,
2,11300000.00,"23-32",650,1,0,1
6,18500000.00,"7-15",913,1,0,1
1,6300000.00,"25-30",366,1,0,1
2,14500000.00,"12-22",750,1,1,1
2,15000000.00,"26-27",706,1,0,1
2,6490000.00,"3-23",612,0,0,1
2,11000000.00,"9-19",730,1,1,1
1,3400000.00,"6-18",510,1,0,1
3,7250000.00,"4-24",961,1,0,1
3,36600000.00,"21-26",1228,0,1,1
1,3500000.00,"7-8",480,1,0,1
1,4000000.00,"4-8",,1,0,
1,3500000.00,"2-5",,1,0,
2,8600000.00,"19-30",551,1,0,1
1,7500000.00,"10-30",435,1,0,1
1,5500000.00,"3-7",430,1,1,1
4,33000000.00,"12-19",1359,1,0,1
2,13000000.00,"15-30",640,1,0,1
2,4400000.00,"3-4",,1,1,
1,5800000.00,"10-31",495,1,0,1
1,3600000.00,"11-18",510,0,1,2
4,29500000.00,"1-29",1650,1,2,1
1,3000000.00,"4-7",,1,1,0
1,5600000.00,"3-6",540,1,0,1
2,11500000.00,"24-32",650,1,0,1
3,29900000.00,"21-28",1300,1,1,
3,13000000.00,"4-7",870,0,2,1
2,19000000.00,"16-22",830,0,1,1
2,6100000.00,"19-24",763,1,0,1
1,5800000.00,"7-19",480,1,0,
1,4800000.00,"0  out of 5",370,1,1,
1,4300000.00,"14-23",454,0,1,1
2,16500000.00,"5-14",750,1,1,1
2,15900000.00,"2-29",721,0,0,1
2,6300000.00,"7-19",575,1,1,1
2,19300000.00,"4-30",790,0,0,1
3,29900000.00,"12-27",1100,1,1,1
5,25000000.00,"6-18",,1,2,
2,7000000.00,"1-14",700,1,0,1
1,1700000.00,"1-4",,1,0,
2,19900000.00,"19-30",790,0,0,1
1,3600000.00,"2-7",,1,0,
1,9800000.00,"7-13",500,1,2,0
2,7200000.00,"3-7",850,1,1,1
3,35900000.00,"23-35",1203,0,1,1
1,3250000.00,"6-7",438,1,2,0
1,3700000.00,"17-18",510,1,0,1
4,32000000.00,"16-27",1350,1,0,1
2,4000000.00,"2-4",546,1,0,1
1,6000000.00,"2-21",379,0,1,1
1,4500000.00,"2-2",500,1,0,
1,5500000.00,"7-31",495,1,0,1
3,26000000.00,"10-18",1012,1,1,1
2,4900000.00,"20-26",526,0,0,1
1,,"2-3",,1,0,
2,3100000.00,"2-7",692,1,0,1
3,15600000.00,"14-19",879,1,0,0
1,4850000.00,"3-7",410,1,0,1
1,4700000.00,"7-12",400,1,0,1
2,8500000.00,"9-16",640,1,0,1
6,52000000.00,"8-18",2024,1,1,1
2,18000000.00,"12-18",630,1,1,0
2,12500000.00,"6-21",,1,1,
2,3000000.00,"0  out of 4",,1,0,
1,2700000.00,"3-3",375,1,0,
1,6300000.00,"8-16",435,1,0,1
2,8400000.00,"7-7",650,1,1,0
1,7500000.00,"1-7",450,1,2,1
2,3900000.00,"5-7",511,1,0,1
2,,"18-30",585,1,0,1
1,1700000.00,"0  out of 3",,1,1,0
1,3990000.00,"4-7",,1,0,
2,15400000.00,"2-29",702,0,0,1
1,4500000.00,"5-14",440,1,1,1
2,9500000.00,"18-20",663,1,0,1
1,8200000.00,"6-40",453,1,0,
1,1500000.00,"1-4",,1,1,
1,3000000.00,"2-4",475,1,2,2
1,2500000.00,"7-7",,1,0,
1,4700000.00,"9-16",330,1,1,1
1,2000000.00,"3-4",,1,1,
2,,"10-29",779,1,0,1
2,8500000.00,"5-11",650,1,1,0
3,10500000.00,"12-24",,1,0,
3,19000000.00,"6-16",1011,1,1,1
2,4500000.00,"2-4",,1,0,
2,,"7-7",700,1,1,
1,7000000.00,"1-19",,1,1,
1,3250000.00,"8-12",500,1,1,
2,11000000.00,"20-32",650,1,0,1
1,4200000.00,"2-5",,1,1,
1,7000000.00,"2-19",,1,1,
3,30000000.00,"5-12",1190,1,0,1
1,2400000.00,"4-7",420,1,1,
2,21100000.00,"18-30",790,0,0,1
1,2000000.00,"3-5",,1,0,1
1,3600000.00,"2-7",450,0,0,1
3,19500000.00,"10-28",1090,1,0,1
1,5000000.00,"5-7",400,1,0,0
,1300000.00,"2-5",,1,0,
1,2700000.00,"3-3",,1,2,
1,6300000.00,"6-16",438,1,1,1
2,15500000.00,"19-23",833,1,0,0
3,10000000.00,"5-7",900,1,0,1
2,12000000.00,"5-17",,1,2,
2,,"20-42",635,1,0,0
2,12000000.00,"16-17",,1,1,
2,12000000.00,"17-17",,1,1,
2,13000000.00,"5-17",,1,2,
3,30000000.00,"14-29",1300,1,1,1
1,11000000.00,"",518,,1,
2,2800000.00,"1-4",,1,0,
2,14500000.00,"1-2",720,1,0,0
1,5000000.00,"5-7",,1,0,
2,10900000.00,"17-32",640,1,0,1
,2100000.00,"",345,1,2,
2,9000000.00,"15-15",,1,0,
1,7000000.00,"1-19",,1,1,
1,3000000.00,"4-4",385,1,0,
2,,"7-18",725,1,0,1
1,2810000.00,"19-36",384,0,0,1
1,4800000.00,"4-8",,1,0,
1,7600000.00,"13-27",450,1,1,0
2,11100000.00,"21-32",650,1,0,1
1,3500000.00,"8-18",510,1,0,1
2,22000000.00,"29-30",810,0,0,1
2,17600000.00,"2-29",800,0,0,1
2,8500000.00,"5-7",670,1,1,0
1,4950000.00,"2-24",500,0,0,1
2,17700000.00,"2-29",804,0,0,1
,1500000.00,"3-4",,1,0,
2,,"3-4",,1,,
2,6000000.00,"16-22",,1,0,
2,10500000.00,"8-27",,1,0,
3,23500000.00,"16-28",1040,1,1,1
2,10900000.00,"22-29",672,1,0,1
1,3500000.00,"1-1",500,1,0,1
2,11400000.00,"23-32",650,1,0,1
1,3300000.00,"10-18",450,1,0,1
2,4100000.00,"3-4",,1,,
1,4100000.00,"0  out of 4",,1,,
1,,"3-3",,1,,
1,,"3-5",,1,0,
1,2390000.00,"1-7",,1,1,1
1,1950000.00,"4-4",,1,0,
1,4000000.00,"1-4",525,1,0,1
1,3500000.00,"3-5",,1,0,
2,6500000.00,"23-24",620,0,0,1
2,4250000.00,"4-12",,1,1,
1,5100000.00,"5-7",434,1,1,1
2,15500000.00,"11-17",769,1,0,1
3,27900000.00,"11-32",1260,0,0,1
2,7100000.00,"21-24",630,0,1,1
3,16500000.00,"8-20",900,1,1,0
1,13000000.00,"16-30",455,1,1,1
2,16100000.00,"26-30",559,1,2,1
,5600000.00,"25-36",263,1,0,1
1,,"5-6",,1,2,
4,70400000.00,"7-26",2200,1,0,1
1,1950000.00,"1-5",280,1,0,
1,3200000.00,"3-4",375,1,1,0
1,5000000.00,"5-6",,1,2,
3,10000000.00,"3-7",,1,1,
2,18500000.00,"9-29",758,0,0,1
1,5200000.00,"7-12",540,1,1,1
1,3800000.00,"3-4",290,1,1,1
2,18000000.00,"11-29",758,0,0,1
1,6100000.00,"8-15",,1,1,
1,6200000.00,"5-14",,1,0,
1,6200000.00,"12-25",,1,0,
2,10800000.00,"16-32",640,1,0,1
